,name,releasedate,copiessold,price_x,revenue,avgplaytime,reviewscore,publisherclass,publishers_x,developers_x,steamid,appid,estimated owners,peak ccu,required age,price_y,discount,dlc count,supported languages,full audio languages,windows,mac,linux,positive,negative,achievements,recommendations,average playtime forever,average playtime two weeks,median playtime forever,median playtime two weeks,single-player,multi-player,indie,early access,free to play,simulation,sports,action,strategy,adventure,rpg,massively multiplayer,casual,racing,jrpg
1227,vaygren - lustful temptation,15-05-2024,41551,7.99,283824.0,1.331909162554531,94,Indie,Critical Bliss,Cyberframe Studios,1771700,1771700,0 - 20000,143,0,7.19,0,0,['English'],['English'],True,False,False,0,0,9,101,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1228,that time i got reincarnated as a slime isekai chronicles,07-08-2024,6298,49.99,283353.0,8.587601388172795,50,AA,Bandai Namco Entertainment Inc.,"ZOC Co.,Ltd.",2197680,2197680,0 - 20000,504,0,49.99,0,1,"['English', 'French', 'German', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","['Japanese', 'Korean']",True,False,False,68,79,20,149,0,0,0,0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1229,lovexlust,06-09-2024,10749,34.99,280098.0,1.939318005493168,72,Indie,CTM,CTM,2647060,2647060,0 - 20000,11,0,24.49,0,0,['English'],['English'],True,False,False,0,0,0,0,0,0,0,0,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
1230,my recycling center,01-02-2024,20320,14.99,279126.0,16.77815428837053,0,Indie,Darius Bode,Darius Bode,2613060,2613060,0 - 20000,69,0,11.24,0,0,"['English', 'German']","['English', 'German']",True,False,False,15,8,20,0,0,0,0,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
1231,city transport simulator: tram,20-06-2024,10531,29.99,278620.0,7.81314752428626,65,Indie,Dovetail Games,ViewApp,2604480,2604480,0 - 20000,0,0,29.99,0,0,"['English', 'French', 'Italian', 'German', 'Polish', 'Russian', 'Simplified Chinese']","['English', 'Simplified Chinese']",True,False,False,70,38,20,165,0,0,0,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
1232,the secret atelier,26-02-2024,19943,16.99,276924.0,1.732537658664651,86,Indie,Denpasoft,KENZsoft,2799690,2799690,0 - 20000,34,0,15.29,0,1,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']","['Japanese', 'Traditional Chinese']",True,False,False,0,0,7,0,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1233,coffee caravan,20-05-2024,29571,11.99,276349.0,4.877388018812072,92,Indie,Broccoli Games,Broccoli Games,2649080,2649080,0 - 0,0,0,9.59,0,0,"['English', 'Czech', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Turkish', 'Portuguese - Brazil', 'Italian', 'Simplified Chinese']","['English', 'Czech', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Turkish', 'Portuguese - Brazil', 'Italian', 'Simplified Chinese']",True,False,False,0,0,20,0,0,0,0,0,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False
1234,touhou genso wanderer -foresight-,14-05-2024,9637,34.99,275769.0,15.744549618397478,0,Indie,Phoenixx Inc.,"AQUASTYLE,ankaa studio",1847150,1847150,0 - 20000,872,0,31.49,0,1,"['Japanese', 'English', 'Simplified Chinese', 'Traditional Chinese']","['Japanese', 'Traditional Chinese']",True,False,False,88,69,17,160,0,0,0,0,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
1235,revival: recolonization,11-04-2024,11698,29.99,274280.0,7.034563470064829,84,Indie,HeroCraft PC,HeroCraft PC,1306770,1306770,0 - 20000,52,0,26.99,0,0,"['English', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",[],True,False,False,27,7,32,0,0,0,0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1236,shut up and dance: special edition,30-05-2024,17701,17.99,273599.0,4.888716221882648,90,Indie,Boring Games,Boring Games,2218930,2218930,0 - 20000,0,0,16.19,0,0,['English'],[],True,True,True,0,0,92,0,0,0,0,0,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False
1237,rise of gun,25-03-2024,32764,10.99,272968.0,4.866904160347173,85,Indie,PimpGameStudio,PimpGameStudio,2319640,2319640,0 - 20000,0,0,10.99,0,0,"['English', 'French', 'German', 'Spanish - Latin America', 'Simplified Chinese', 'Korean', 'Polish', 'Ukrainian', 'Japanese', 'Portuguese - Brazil']",[],True,False,False,57,8,0,0,0,0,0,0,True,False,True,True,False,True,False,False,False,True,True,False,True,False,False
1238,anomaly collapse,11-04-2024,16403,19.99,272494.0,14.25436172637584,84,Indie,RocketPunch Games,RocketPunch Games,2082410,2082410,0 - 20000,0,0,17.99,0,0,"['Simplified Chinese', 'English', 'Japanese', 'Traditional Chinese']",[],True,False,False,56,5,85,175,0,0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
